Breed,Age,Sex,Symptoms,ICD
믹스,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
포메라니안,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
포메라니안,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
페키니즈,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,1,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,1,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,1,F,말라세지아 감염,귀 또는 유양돌기의 질병
비숑 프리제,1,F,말라세지아 감염,귀 또는 유양돌기의 질병
요크셔 테리어,1,F,말라세지아 감염,귀 또는 유양돌기의 질병
치와와,1,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
웰시코기,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
포메라니안,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
요크셔 테리어,1,F,말라세지아 감염,귀 또는 유양돌기의 질병
포메라니안,1,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,1,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,1,F,말라세지아 감염,귀 또는 유양돌기의 질병
치와와,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
치와와,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
포메라니안,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
닥스훈트,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,2,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,2,F,말라세지아 감염,귀 또는 유양돌기의 질병
요크셔 테리어,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,2,F,말라세지아 감염,귀 또는 유양돌기의 질병
요크셔 테리어,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
믹스,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,2,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
포메라니안,2,F,말라세지아 감염,귀 또는 유양돌기의 질병
요크셔 테리어,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
불독,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,2,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,2,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
포메라니안,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
믹스,2,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,2,F,말라세지아 감염,귀 또는 유양돌기의 질병
치와와,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
비숑 프리제,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
포메라니안,2,F,말라세지아 감염,귀 또는 유양돌기의 질병
코커스패니얼,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
시추,2,F,말라세지아 감염,귀 또는 유양돌기의 질병
골든 리트리버,2,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,2,unknown,말라세지아 감염,귀 또는 유양돌기의 질병
코커스패니얼,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
치와와,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
보스턴 테리어,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,2,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
시추,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
치와와,2,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
요크셔 테리어,2,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
믹스,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,F,말라세지아 감염,귀 또는 유양돌기의 질병
보스턴 테리어,3,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,3,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,3,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,3,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,3,F,말라세지아 감염,귀 또는 유양돌기의 질병
포메라니안,3,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
시추,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
포메라니안,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
닥스훈트,3,F,말라세지아 감염,귀 또는 유양돌기의 질병
시추,3,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
페키니즈,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,F,말라세지아 감염,귀 또는 유양돌기의 질병
닥스훈트,4,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,4,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,4,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,4,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,4,F,말라세지아 감염,귀 또는 유양돌기의 질병
믹스,4,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,4,M,말라세지아 감염,귀 또는 유양돌기의 질병
믹스,4,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,4,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,4,M,말라세지아 감염,귀 또는 유양돌기의 질병
믹스,4,M,말라세지아 감염,귀 또는 유양돌기의 질병
치와와,4,M,말라세지아 감염,귀 또는 유양돌기의 질병
시추,4,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,4,F,말라세지아 감염,귀 또는 유양돌기의 질병
요크셔 테리어,4,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,4,M,말라세지아 감염,귀 또는 유양돌기의 질병
시추,4,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,4,M,말라세지아 감염,귀 또는 유양돌기의 질병
믹스,4,M,말라세지아 감염,귀 또는 유양돌기의 질병
시추,4,F,말라세지아 감염,귀 또는 유양돌기의 질병
시추,4,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,4,M,말라세지아 감염,귀 또는 유양돌기의 질병
미니어처 핀셔,4,F,말라세지아 감염,귀 또는 유양돌기의 질병
시추,4,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,5,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,5,M,말라세지아 감염,귀 또는 유양돌기의 질병
시추,5,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,5,M,말라세지아 감염,귀 또는 유양돌기의 질병
미니어처 핀셔,5,M,말라세지아 감염,귀 또는 유양돌기의 질병
포메라니안,5,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,5,F,말라세지아 감염,귀 또는 유양돌기의 질병
요크셔 테리어,5,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,5,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,5,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,5,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,5,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,5,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,5,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,5,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,5,F,말라세지아 감염,귀 또는 유양돌기의 질병
요크셔 테리어,6,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,6,F,말라세지아 감염,귀 또는 유양돌기의 질병
시추,6,M,말라세지아 감염,귀 또는 유양돌기의 질병
시추,6,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,6,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,6,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,6,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,6,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,6,M,말라세지아 감염,귀 또는 유양돌기의 질병
페키니즈,6,M,말라세지아 감염,귀 또는 유양돌기의 질병
스피츠,6,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,6,M,말라세지아 감염,귀 또는 유양돌기의 질병
시추,6,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,6,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,6,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,6,M,말라세지아 감염,귀 또는 유양돌기의 질병
스피츠,6,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,6,M,말라세지아 감염,귀 또는 유양돌기의 질병
요크셔 테리어,6,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,6,F,말라세지아 감염,귀 또는 유양돌기의 질병
요크셔 테리어,6,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,6,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,7,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,7,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,7,M,말라세지아 감염,귀 또는 유양돌기의 질병
시추,7,M,말라세지아 감염,귀 또는 유양돌기의 질병
스피츠,7,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,7,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,7,F,말라세지아 감염,귀 또는 유양돌기의 질병
포메라니안,7,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,7,M,말라세지아 감염,귀 또는 유양돌기의 질병
페키니즈,7,M,말라세지아 감염,귀 또는 유양돌기의 질병
페키니즈,7,F,말라세지아 감염,귀 또는 유양돌기의 질병
믹스,7,M,말라세지아 감염,귀 또는 유양돌기의 질병
시추,7,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,7,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,7,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,8,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,8,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,8,M,말라세지아 감염,귀 또는 유양돌기의 질병
시추,8,M,말라세지아 감염,귀 또는 유양돌기의 질병
페키니즈,8,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,8,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,8,M,말라세지아 감염,귀 또는 유양돌기의 질병
스코티쉬 테리어,8,M,말라세지아 감염,귀 또는 유양돌기의 질병
요크셔 테리어,8,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,8,M,말라세지아 감염,귀 또는 유양돌기의 질병
요크셔 테리어,8,F,말라세지아 감염,귀 또는 유양돌기의 질병
페키니즈,8,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,9,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,9,F,말라세지아 감염,귀 또는 유양돌기의 질병
요크셔 테리어,9,M,말라세지아 감염,귀 또는 유양돌기의 질병
시추,9,M,말라세지아 감염,귀 또는 유양돌기의 질병
시추,9,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,9,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,9,M,말라세지아 감염,귀 또는 유양돌기의 질병
닥스훈트,9,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,9,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,9,M,말라세지아 감염,귀 또는 유양돌기의 질병
포메라니안,9,M,말라세지아 감염,귀 또는 유양돌기의 질병
차우차우,9,F,말라세지아 감염,귀 또는 유양돌기의 질병
시추,9,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,4,F,말라세지아 감염,귀 또는 유양돌기의 질병
믹스,3,F,말라세지아 감염,귀 또는 유양돌기의 질병
믹스,14,F,말라세지아 감염,귀 또는 유양돌기의 질병
치와와,10,F,말라세지아 감염,귀 또는 유양돌기의 질병
시추,10,M,말라세지아 감염,귀 또는 유양돌기의 질병
닥스훈트,10,F,말라세지아 감염,귀 또는 유양돌기의 질병
닥스훈트,11,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,11,M,말라세지아 감염,귀 또는 유양돌기의 질병
시추,11,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,11,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,12,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,12,M,말라세지아 감염,귀 또는 유양돌기의 질병
믹스,13,F,말라세지아 감염,귀 또는 유양돌기의 질병
믹스,13,M,말라세지아 감염,귀 또는 유양돌기의 질병
시추,14,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,14,M,말라세지아 감염,귀 또는 유양돌기의 질병
요크셔 테리어,14,F,말라세지아 감염,귀 또는 유양돌기의 질병
미니어처 핀셔,15,unknown,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,1,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,1,unknown,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
믹스,1,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,1,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,1,F,말라세지아 감염,귀 또는 유양돌기의 질병
믹스,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
페키니즈,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
믹스,1,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,1,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
치와와,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,2,F,말라세지아 감염,귀 또는 유양돌기의 질병
포메라니안,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,2,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,3,F,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
포메라니안,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
골든 리트리버,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,3,M,말라세지아 감염,귀 또는 유양돌기의 질병
포메라니안,4,M,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,4,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,4,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,5,F,말라세지아 감염,귀 또는 유양돌기의 질병
시추,5,F,말라세지아 감염,귀 또는 유양돌기의 질병
푸들,5,F,말라세지아 감염,귀 또는 유양돌기의 질병
요크셔 테리어,5,M,말라세지아 감염,귀 또는 유양돌기의 질병
요크셔 테리어,5,M,말라세지아 감염,귀 또는 유양돌기의 질병
시추,6,F,말라세지아 감염,귀 또는 유양돌기의 질병
스피츠,6,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,7,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,7,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,8,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,8,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,8,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,9,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,9,M,말라세지아 감염,귀 또는 유양돌기의 질병
말티즈,10,F,외이염,귀 또는 유양돌기의 질병
슈나우저,10,M,외이염,귀 또는 유양돌기의 질병
페키니즈,10,M,외이염,귀 또는 유양돌기의 질병
말티즈,10,F,외이염,귀 또는 유양돌기의 질병
시추,10,M,외이염,귀 또는 유양돌기의 질병
푸들,10,M,외이염,귀 또는 유양돌기의 질병
말티즈,10,F,외이염,귀 또는 유양돌기의 질병
페키니즈,10,F,외이염,귀 또는 유양돌기의 질병
말티즈,10,F,외이염,귀 또는 유양돌기의 질병
요크셔 테리어,10,M,외이염,귀 또는 유양돌기의 질병
시추,10,M,외이염,귀 또는 유양돌기의 질병
말티즈,10,M,외이염,귀 또는 유양돌기의 질병
시추,10,M,외이염,귀 또는 유양돌기의 질병
시추,10,M,외이염,귀 또는 유양돌기의 질병
푸들,10,M,외이염,귀 또는 유양돌기의 질병
시추,10,M,외이염,귀 또는 유양돌기의 질병
말티즈,10,M,외이염,귀 또는 유양돌기의 질병
말티즈,10,M,외이염,귀 또는 유양돌기의 질병
시추,10,M,외이염,귀 또는 유양돌기의 질병
푸들,10,M,외이염,귀 또는 유양돌기의 질병
말티즈,10,M,외이염,귀 또는 유양돌기의 질병
말티즈,10,M,외이염,귀 또는 유양돌기의 질병
비글,0,F,외이염,귀 또는 유양돌기의 질병
푸들,11,M,외이염,귀 또는 유양돌기의 질병
믹스,11,M,외이염,귀 또는 유양돌기의 질병
말티즈,11,M,외이염,귀 또는 유양돌기의 질병
비글,11,M,외이염,귀 또는 유양돌기의 질병
시추,11,M,외이염,귀 또는 유양돌기의 질병
말티즈,11,M,외이염,귀 또는 유양돌기의 질병
말티즈,11,M,외이염,귀 또는 유양돌기의 질병
말티즈,11,M,외이염,귀 또는 유양돌기의 질병
말티즈,11,M,외이염,귀 또는 유양돌기의 질병
말티즈,11,F,외이염,귀 또는 유양돌기의 질병
말티즈,11,M,외이염,귀 또는 유양돌기의 질병
시추,11,F,외이염,귀 또는 유양돌기의 질병
말티즈,11,M,외이염,귀 또는 유양돌기의 질병
푸들,11,M,외이염,귀 또는 유양돌기의 질병
푸들,11,M,외이염,귀 또는 유양돌기의 질병
미니어처 핀셔,11,M,외이염,귀 또는 유양돌기의 질병
페키니즈,11,M,외이염,귀 또는 유양돌기의 질병
말티즈,11,M,외이염,귀 또는 유양돌기의 질병
말티즈,11,M,외이염,귀 또는 유양돌기의 질병
스피츠,12,M,외이염,귀 또는 유양돌기의 질병
말티즈,12,M,외이염,귀 또는 유양돌기의 질병
시추,12,F,외이염,귀 또는 유양돌기의 질병
시추,12,M,외이염,귀 또는 유양돌기의 질병
시추,12,M,외이염,귀 또는 유양돌기의 질병
말티즈,12,M,외이염,귀 또는 유양돌기의 질병
코커스패니얼,12,F,외이염,귀 또는 유양돌기의 질병
믹스,12,M,외이염,귀 또는 유양돌기의 질병
코커스패니얼,12,M,외이염,귀 또는 유양돌기의 질병
시추,12,M,외이염,귀 또는 유양돌기의 질병
말티즈,12,F,외이염,귀 또는 유양돌기의 질병
요크셔 테리어,12,F,외이염,귀 또는 유양돌기의 질병
말티즈,12,F,외이염,귀 또는 유양돌기의 질병
시추,12,F,외이염,귀 또는 유양돌기의 질병
시추,12,M,외이염,귀 또는 유양돌기의 질병
말티즈,12,F,외이염,귀 또는 유양돌기의 질병
시추,13,M,외이염,귀 또는 유양돌기의 질병
치와와,13,M,외이염,귀 또는 유양돌기의 질병
요크셔 테리어,13,M,외이염,귀 또는 유양돌기의 질병
요크셔 테리어,13,M,외이염,귀 또는 유양돌기의 질병
말티즈,13,M,외이염,귀 또는 유양돌기의 질병
말티즈,13,M,외이염,귀 또는 유양돌기의 질병
요크셔 테리어,13,M,외이염,귀 또는 유양돌기의 질병
말티즈,13,M,외이염,귀 또는 유양돌기의 질병
말티즈,13,M,외이염,귀 또는 유양돌기의 질병
페키니즈,13,M,외이염,귀 또는 유양돌기의 질병
시추,14,M,외이염,귀 또는 유양돌기의 질병
말티즈,14,F,외이염,귀 또는 유양돌기의 질병
퍼그,14,M,외이염,귀 또는 유양돌기의 질병
믹스,14,M,외이염,귀 또는 유양돌기의 질병
푸들,14,M,외이염,귀 또는 유양돌기의 질병
코커스패니얼,14,M,외이염,귀 또는 유양돌기의 질병
시추,14,M,외이염,귀 또는 유양돌기의 질병
말티즈,14,M,외이염,귀 또는 유양돌기의 질병
시추,14,M,외이염,귀 또는 유양돌기의 질병
시추,14,M,외이염,귀 또는 유양돌기의 질병
시추,14,M,외이염,귀 또는 유양돌기의 질병
말티즈,14,M,외이염,귀 또는 유양돌기의 질병
시추,14,M,외이염,귀 또는 유양돌기의 질병
시추,14,M,외이염,귀 또는 유양돌기의 질병
슈나우저,14,M,외이염,귀 또는 유양돌기의 질병
요크셔 테리어,14,M,외이염,귀 또는 유양돌기의 질병
요크셔 테리어,14,M,외이염,귀 또는 유양돌기의 질병
말티즈,14,M,외이염,귀 또는 유양돌기의 질병
요크셔 테리어,14,M,외이염,귀 또는 유양돌기의 질병
요크셔 테리어,14,M,외이염,귀 또는 유양돌기의 질병
요크셔 테리어,14,M,외이염,귀 또는 유양돌기의 질병
시추,14,M,외이염,귀 또는 유양돌기의 질병
닥스훈트,14,M,외이염,귀 또는 유양돌기의 질병
요크셔 테리어,14,M,외이염,귀 또는 유양돌기의 질병
말티즈,14,M,외이염,귀 또는 유양돌기의 질병
시추,15,M,외이염,귀 또는 유양돌기의 질병
시추,15,F,외이염,귀 또는 유양돌기의 질병
시추,15,M,외이염,귀 또는 유양돌기의 질병
말티즈,15,M,외이염,귀 또는 유양돌기의 질병
말티즈,15,M,외이염,귀 또는 유양돌기의 질병
미니어처 핀셔,15,M,외이염,귀 또는 유양돌기의 질병
시추,15,M,외이염,귀 또는 유양돌기의 질병
시추,15,F,외이염,귀 또는 유양돌기의 질병
요크셔 테리어,15,M,외이염,귀 또는 유양돌기의 질병
시추,15,M,외이염,귀 또는 유양돌기의 질병
슈나우저,15,M,외이염,귀 또는 유양돌기의 질병
시추,15,M,외이염,귀 또는 유양돌기의 질병
말티즈,15,M,외이염,귀 또는 유양돌기의 질병
요크셔 테리어,15,M,외이염,귀 또는 유양돌기의 질병
코커스패니얼,16,M,외이염,귀 또는 유양돌기의 질병
코커스패니얼,16,M,외이염,귀 또는 유양돌기의 질병
말티즈,16,M,외이염,귀 또는 유양돌기의 질병
말티즈,16,M,외이염,귀 또는 유양돌기의 질병
시추,16,F,외이염,귀 또는 유양돌기의 질병
시추,16,M,외이염,귀 또는 유양돌기의 질병
푸들,17,M,외이염,귀 또는 유양돌기의 질병
슈나우저,17,M,외이염,귀 또는 유양돌기의 질병
시추,17,M,외이염,귀 또는 유양돌기의 질병
치와와,1,M,외이염,귀 또는 유양돌기의 질병
코커스패니얼,1,M,외이염,귀 또는 유양돌기의 질병
시추,1,F,외이염,귀 또는 유양돌기의 질병
믹스,1,F,외이염,귀 또는 유양돌기의 질병
비숑 프리제,1,F,외이염,귀 또는 유양돌기의 질병
시바 이누,1,M,외이염,귀 또는 유양돌기의 질병
샤페이,1,F,외이염,귀 또는 유양돌기의 질병
비숑 프리제,1,F,외이염,귀 또는 유양돌기의 질병
프렌치 불독,1,M,외이염,귀 또는 유양돌기의 질병
미니어처 핀셔,1,M,외이염,귀 또는 유양돌기의 질병
말티즈,1,F,외이염,귀 또는 유양돌기의 질병
요크셔 테리어,1,F,외이염,귀 또는 유양돌기의 질병
요크셔 테리어,1,F,외이염,귀 또는 유양돌기의 질병
말티즈,1,F,외이염,귀 또는 유양돌기의 질병
말티즈,1,F,외이염,귀 또는 유양돌기의 질병
말티즈,1,F,외이염,귀 또는 유양돌기의 질병
페키니즈,1,F,외이염,귀 또는 유양돌기의 질병
푸들,1,M,외이염,귀 또는 유양돌기의 질병
그레이트 데인,1,M,외이염,귀 또는 유양돌기의 질병
말티즈,1,M,외이염,귀 또는 유양돌기의 질병
푸들,1,F,외이염,귀 또는 유양돌기의 질병
퍼그,1,M,외이염,귀 또는 유양돌기의 질병
푸들,1,F,외이염,귀 또는 유양돌기의 질병
푸들,1,M,외이염,귀 또는 유양돌기의 질병
말티즈,1,M,외이염,귀 또는 유양돌기의 질병
푸들,1,M,외이염,귀 또는 유양돌기의 질병
푸들,1,M,외이염,귀 또는 유양돌기의 질병
말티즈,1,M,외이염,귀 또는 유양돌기의 질병
푸들,1,F,외이염,귀 또는 유양돌기의 질병
코커스패니얼,1,M,외이염,귀 또는 유양돌기의 질병
말티즈,1,F,외이염,귀 또는 유양돌기의 질병
비숑 프리제,1,F,외이염,귀 또는 유양돌기의 질병
푸들,1,F,외이염,귀 또는 유양돌기의 질병
푸들,1,F,외이염,귀 또는 유양돌기의 질병
푸들,1,F,외이염,귀 또는 유양돌기의 질병
말티즈,1,F,외이염,귀 또는 유양돌기의 질병
말티즈,1,M,외이염,귀 또는 유양돌기의 질병
포메라니안,1,M,외이염,귀 또는 유양돌기의 질병
포메라니안,1,M,외이염,귀 또는 유양돌기의 질병
웰시코기,1,M,외이염,귀 또는 유양돌기의 질병
푸들,1,M,외이염,귀 또는 유양돌기의 질병
비숑 프리제,1,M,외이염,귀 또는 유양돌기의 질병
푸들,1,M,외이염,귀 또는 유양돌기의 질병
푸들,1,F,외이염,귀 또는 유양돌기의 질병
푸들,1,F,외이염,귀 또는 유양돌기의 질병
